name,oblast_name,doctors_to_people_ration,decl_count,full_name
Любешівський р.,Волинська,0.06977587987384523,32251,"Любешівський р., Волинська область"
Любашівський р.,Одеська,0.06977149834292691,18697,"Любашівський р., Одеська область"
Корсунь-Шевченківський р.,Черкаська,0.0694106572462082,31617,"Корсунь-Шевченківський р., Черкаська область"
Верхньодніпровський р.,Дніпропетровська,0.06863078832068696,31780,"Верхньодніпровський р., Дніпропетровська область"
Криворізький р.,Дніпропетровська,0.06814862154268791,27503,"Криворізький р., Дніпропетровська область"
Очаківський р.,Миколаївська,0.06774516976939544,18795,"Очаківський р., Миколаївська область"
Кегичівський р.,Харківська,0.06676961327039994,15153,"Кегичівський р., Харківська область"
Ємільчинський р.,Житомирська,0.06615191655332638,20317,"Ємільчинський р., Житомирська область"
м. Борислав,Львівська,0.06602914790705207,30703,"м. Борислав, Львівська область"
Шаргородський р.,Вінницька,0.06593804250524471,42121,"Шаргородський р., Вінницька область"
Гребінківський р.,Полтавська,0.06543478739345282,17117,"Гребінківський р., Полтавська область"
Арцизький р.,Одеська,0.06486649178660481,24695,"Арцизький р., Одеська область"
Мелітопольський р.,Запорізька,0.06423721518824715,138696,"Мелітопольський р., Запорізька область"
Лановецький р.,Тернопільська,0.06421904236564024,20531,"Лановецький р., Тернопільська область"
Олександрівський р.,Донецька,0.06387182486061749,13246,"Олександрівський р., Донецька область"
Бродівський р.,Львівська,0.06348471404474444,38763,"Бродівський р., Львівська область"
Петриківський р.,Дніпропетровська,0.06320193650733458,18420,"Петриківський р., Дніпропетровська область"
Оратівський р.,Вінницька,0.06311740295986193,16139,"Оратівський р., Вінницька область"
Великомихайлівський р.,Одеська,0.06206457819361045,18066,"Великомихайлівський р., Одеська область"
Семенівський р.,Полтавська,0.061816452686638136,17629,"Семенівський р., Полтавська область"
Голованівський р.,Кіровоградська,0.061202453344058334,18890,"Голованівський р., Кіровоградська область"
Новомиргородський р.,Кіровоградська,0.06110092762317393,19620,"Новомиргородський р., Кіровоградська область"
Маневицький р.,Волинська,0.059478943941095326,44576,"Маневицький р., Волинська область"
Збаразький р.,Тернопільська,0.05872068432749969,41356,"Збаразький р., Тернопільська область"
Кривоозерський р.,Миколаївська,0.05847953216374269,13607,"Кривоозерський р., Миколаївська область"
Піщанський р.,Вінницька,0.058373410327861565,13145,"Піщанський р., Вінницька область"
Малинський р.,Житомирська,0.057707067384542586,35864,"Малинський р., Житомирська область"
Олешківський р.,Херсонська,0.057681709182456166,48361,"Олешківський р., Херсонська область"
Троїцький р.,Луганська,0.05696456545099105,13798,"Троїцький р., Луганська область"
Гощанський р.,Рівненська,0.05673473754510412,27223,"Гощанський р., Рівненська область"
Солонянський р.,Дніпропетровська,0.05631470912044871,25006,"Солонянський р., Дніпропетровська область"
м. Жмеринка,Вінницька,0.055923407301360056,52959,"м. Жмеринка, Вінницька область"
Голопристанський р.,Херсонська,0.05573148385307973,38640,"Голопристанський р., Херсонська область"
м. Славутич,Київська,0.055694792536897804,16197,"м. Славутич, Київська область"
Таращанський р.,Київська,0.05529558948554366,20605,"Таращанський р., Київська область"
м. Ватутіне,Черкаська,0.055068929779404883,42818,"м. Ватутіне, Черкаська область"
Покровський р.,Дніпропетровська,0.054931291940041385,27395,"Покровський р., Дніпропетровська область"
Миронівський р.,Київська,0.05485225976875442,28858,"Миронівський р., Київська область"
Котелевський р.,Полтавська,0.05464487765222066,15831,"Котелевський р., Полтавська область"
Верхньорогачицький р.,Херсонська,0.05462048322741511,7314,"Верхньорогачицький р., Херсонська область"
Славутський р.,Хмельницька,0.05442726961714303,50030,"Славутський р., Хмельницька область"
Кагарлицький р.,Київська,0.054424989778306614,26674,"Кагарлицький р., Київська область"
Білопільський р.,Сумська,0.05429534845234367,34601,"Білопільський р., Сумська область"
Золочівський р.,Львівська,0.05405222796527145,43536,"Золочівський р., Львівська область"
Ямпільський р.,Вінницька,0.053628777845737365,28283,"Ямпільський р., Вінницька область"
Рахівський р.,Закарпатська,0.053389638510364094,53503,"Рахівський р., Закарпатська область"
Новоодеський р.,Миколаївська,0.053262884291710166,20792,"Новоодеський р., Миколаївська область"
Печенізький р.,Харківська,0.05303717375508494,6810,"Печенізький р., Харківська область"
Любомльський р.,Волинська,0.05261611257953912,31098,"Любомльський р., Волинська область"
Мостиський р.,Львівська,0.052572589958805815,36951,"Мостиський р., Львівська область"
Горностаївський р.,Херсонська,0.051945056674654086,13092,"Горностаївський р., Херсонська область"
Новоукраїнський р.,Кіровоградська,0.05169027189083015,28107,"Новоукраїнський р., Кіровоградська область"
Сватівський р.,Луганська,0.051637976474532346,22946,"Сватівський р., Луганська область"
м. Нетішин,Хмельницька,0.0488468309920582,26801,"м. Нетішин, Хмельницька область"
Заліщицький р.,Тернопільська,0.04745904284602388,33491,"Заліщицький р., Тернопільська область"
Горохівський р.,Волинська,0.0469582628698511,38058,"Горохівський р., Волинська область"
Світловодський р.,Кіровоградська,0.04689641647428477,44227,"Світловодський р., Кіровоградська область"
Надвірнянський р.,Іван-Франківська,0.046762451095367606,70553,"Надвірнянський р., Іван-Франківська область"
Білгород-Дністровський р.,Одеська,0.046201109177748695,65944,"Білгород-Дністровський р., Одеська область"
Погребищенський р.,Вінницька,0.04576723488449054,21257,"Погребищенський р., Вінницька область"
Берегівський р.,Закарпатська,0.045705018337295664,46006,"Берегівський р., Закарпатська область"
Білозерський р.,Херсонська,0.045418752380936164,39667,"Білозерський р., Херсонська область"
Городищенський р.,Черкаська,0.044834568593629255,28292,"Городищенський р., Черкаська область"
Старокостянтинівський р.,Хмельницька,0.044553316548883885,50860,"Старокостянтинівський р., Хмельницька область"
Іршавський р.,Закарпатська,0.04434694938188028,75561,"Іршавський р., Закарпатська область"
Нікольський р.,Донецька,0.043885537740465316,18098,"Нікольський р., Донецька область"
Березанський р.,Миколаївська,0.04263119751033807,14496,"Березанський р., Миколаївська область"
Мурованокуриловецький р.,Вінницька,0.042428941166487315,17734,"Мурованокуриловецький р., Вінницька область"
